Name of Medicine,Reference text,Dispensing Pack Size,Main Indications,Dose,Precaution/ Contraindication,Preferred use (OPD/ IPD),Class,Translated
Abhayarishta,AFI,200 ml,"Arsha, Agnimandya,
Udararoga, Vibandha",12 - 24 ml,NS,Both,A,"Piles, Indigestion, Digestive, Constipation"
Amritarishta,AFI,200 ml,"SarvaJvara, Jirna Jvara",12 - 24 ml,NS,Both,A,"Systematic fever, Chronic fever"
Aragvadharishta,AH,200ml,"Kandu, Tvak Vikara,
Vibandha",12 - 24 ml,NS,Both,A,"Itching, Dermatological, Constipation"
Aravindasava,AFI,200 ml,"Balaroga, Balakshaya,
Agnimandya, Aruchi",12 - 24 ml,NS,Both,A,"Pediatric disease, Weakness, Indigestion, Loss of appetite"
Arjunarishta/ Parthadyarishta,AFI,200 ml,"Hridroga, Hriddrava, Hrid- daurbalya, Moha,
Murchha",12 - 24 ml,NS,Both,A,"Heart disease, Palpitations, Cardiac weakness, Delirium or confusion, Fainting or unconsciousness"
Ashokarishta,AFI,200 ml,"Asrigdara, Shveta
Pradara,  Yoniroga",12 - 24 ml,NS,Both,A,"Excessive or abnormal uterine bleeding, White discharge (Leucorrhea), Gynecological disorders"
"Ashvagandharisht
a",AFI,200 ml,"Murchha, Apasmara,
Shosha, Unmada, Karshya",12 - 24 ml,NS,Both,A,"Fainting or unconsciousness, Epilepsy, Emaciation or tissue wasting, Insanity or mental disorder, Extreme leanness or malnutrition"
Balarishta,AFI,200 ml,"Daurbalya, Vataroga,
Agnimandya, Karshya",12 - 24 ml,NS,Both,A,"Weakness, Diseases caused by Vata dosha imbalance, Indigestion or weak digestive fire, Emaciation or excessive thinness"
Chandanasava,AFI,200 ml,"Shukrameha,
Mutrakriccha, Hridroga",12 - 24 ml,NS,Both,A,"Excessive or abnormal discharge of semen, Difficulty or painful urination (Dysuria), Heart disease"
Dashamularishta,AFI,200 ml,"Vata Vyadhi, Daurbalya,
Prasavottara roga",12 - 24 ml,NS,Both,A,"Neurological and musculoskeletal disorders caused by Vata dosha imbalance, Weakness or lack of strength, Postpartum disorders affecting the mother after childbirth"
Drakshasava,AFI,200 ml,"Aruchi, Hridroga, Pandu
Duarbalya, Kshaya",12 - 24 ml,NS,Both,A,"Loss of appetite, Heart disease, Anemia or pale complexion due to blood deficiency, Weakness or fatigue, Wasting or depletion of body tissues"
Draksharishta,AFI,200 ml,"Agnimandya, Kasa, Shvasa, Urahkshata, Kshaya, Malavarodha,
Daurbalya",12 - 24 ml,NS,Both,A,"Weak digestive fire, Cough, Breathing disorders or dyspnea (respiratory distress), Chest injury or lung damage, Wasting or emaciation, Constipation or obstruction of bowel movements, Weakness or fatigue"
Jirakadyarishta,AFI,200 ml,"Sutikaroga, Agnimandya,
Atisara,Grahaniroga",12 - 24 ml,NS,Both,A,"Postpartum disorders, Indigestion, Diarrhea, Malabsorption"
Kanakasava,AFI,200 ml,"Kasa, Shvasa, Rajayakshma,
Kshatakshina",12 - 24 ml,NS,Both,A,"
Cough, Breathing disorders (Dyspnea), Tuberculosis, Weakness due to injury or tissue depletion"
