Name,Description,Duration,Instructions,,,,,,,,,Issue
Mindfulness Meditation,Focuses on being present in the moment and non-judgmentally observing your thoughts and surroundings.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on your breath. When your mind wanders, gently bring your attention back to your breath.",,,,,,,,,Stress and Anxiety
Transcendental Meditation,Uses a mantra to help quiet the mind and achieve a deep state of relaxation.,"20 minutes, twice a day",Sit in a comfortable position with your eyes closed and repeat a mantra silently to yourself. Allow your mind to become absorbed in the mantra.,,,,,,,,,Insomnia
Loving-Kindness Meditation,Involves generating feelings of love and compassion towards oneself and others.,10-30 minutes,Sit in a comfortable position with your eyes closed and repeat phrases of loving-kindness to yourself and others.,,,,,,,,,Lack of Focus
Body Scan Meditation,"Involves systematically bringing attention to different parts of the body, noticing sensations and relaxing tension.",10-30 minutes,Lie down or sit in a comfortable position with your eyes closed. Focus on each part of your body starting from your toes and working your way up to the top of your head.,,,,,,,,,Low Self-Esteem
Vipassana Meditation,Involves observing the breath and bodily sensations to gain insight into the nature of reality.,30-60 minutes,Sit in a comfortable position with your eyes closed and observe your breath and bodily sensations without judgement.,,,,,,,,,Chronic Pain
Zen Meditation,"Involves sitting in silence and focusing on the breath, often with the support of a teacher or group.",20-40 minutes,Sit in a comfortable position with your eyes half-closed and focus on your breath. Follow the instructions of your teacher.,,,,,,,,,Emotional Trauma
Chakra Meditation,Involves focusing on each of the body's energy centers to balance and align them.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on each chakra, starting from the base of your spine and working your way up to the crown of your head.",,,,,,,,,Anger and Frustration
Mantra Meditation,Involves repeating a word or phrase to focus the mind and achieve a calm state.,10-30 minutes,Sit in a comfortable position with your eyes closed and repeat a mantra silently to yourself. Allow your mind to become absorbed in the mantra.,,,,,,,,,Depression
Breath Counting Meditation,Involves counting each breath to maintain focus and concentration.,10-30 minutes,Sit in a comfortable position with your eyes closed and count each inhale and exhale up to 10. Start over at 1 if you get distracted.,,,,,,,,,Overthinking
Walking Meditation,"Involves walking slowly and mindfully, focusing on each step and the sensations in the body.",10-30 minutes,"Find a quiet place to walk slowly. Focus on each step, the sensations in your feet and legs, and the environment around you.",,,,,,,,,Lack of Energy
Visualization Meditation,Involves creating a mental image or scenario to promote relaxation and positive emotions.,10-30 minutes,Sit in a comfortable position with your eyes closed and visualize a peaceful scene or positive outcome. Engage all your senses in the visualization.,,,,,,,,,Spiritual Disconnection
Yoga Nidra Meditation,Involves lying down and systematically relaxing different parts of the body to achieve a deep state of relaxation.,20-40 minutes,Lie down in a comfortable position and follow the instructions of the teacher as they guide you through relaxation of each part of the body.,,,,,,,,,Relationship Issues
Sound Meditation,Involves focusing on a particular sound or a series of sounds to promote relaxation.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on a particular sound, such as chanting, a gong, or a singing bowl.",,,,,,,,,Procrastination
Qi Gong Meditation,"Involves combining movement, breath, and visualization to improve physical and mental health.",10-30 minutes,"Follow the movements and breathing exercises of a Qi Gong teacher or video, and visualize the flow of energy in your body.",,,,,,,,,Grief and Loss
Kundalini Meditation,"Involves combining breathwork, movement, and mantra to awaken the energy at the base of the spine and raise it up through the chakras.",10-30 minutes,"Follow the instructions of a Kundalini teacher or video, combining breathwork, movement, and mantra.",,,,,,,,,Lack of Motivation
Silent Meditation,Involves sitting in silence and observing the mind without judgment.,10-60 minutes,Sit in a comfortable position with your eyes closed and observe your thoughts and sensations without getting caught up in them.,,,,,,,,,Physical Tension
Open Monitoring Meditation,Involves observing one's thoughts and feelings without judgment and allowing them to come and go.,10-30 minutes,Sit in a comfortable position with your eyes closed and observe your thoughts and feelings without trying to change or control them.,,,,,,,,,Overwhelm
Focused Attention Meditation,Involves focusing on a specific object or sound to maintain concentration and develop awareness.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on a specific object or sound, such as a candle flame or the sound of a bell.",,,,,,,,,Loneliness
Metta Meditation,Involves cultivating feelings of loving-kindness and compassion towards oneself and others.,10-30 minutes,Sit in a comfortable position with your eyes closed and repeat phrases of loving-kindness to yourself and others.,,,,,,,,,Lack of Creativity
Body Awareness Meditation,Involves focusing on the sensations in the body to develop awareness and relaxation.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on the sensations in your body, such as warmth, tingling, or tension.",,,,,,,,,Fear and Uncertainty
Compassion Meditation,Involves cultivating feelings of empathy and compassion towards oneself and others.,10-30 minutes,Sit in a comfortable position with your eyes closed and visualize yourself and others experiencing happiness and freedom from suffering.,,,,,,,,,Digestive Issues
Breath Awareness and Body Scan Meditation,Involves combining breath awareness and body scan techniques to promote relaxation and awareness.,10-30 minutes,Lie down or sit in a comfortable position with your eyes closed and focus on your breath and the sensations in your body.,,,,,,,,,Lack of Patience
Progressive Muscle Relaxation,Involves tensing and relaxing different muscle groups to promote relaxation and reduce tension.,10-30 minutes,Lie down in a comfortable position and systematically tense and then release each muscle group in your body.,,,,,,,,,Burnout
Guided Meditation,Involves following the instructions of a teacher or audio recording to promote relaxation and awareness.,10-30 minutes,Sit in a comfortable position with your eyes closed and follow the instructions of the teacher or recording.,,,,,,,,,Negative Self-Talk
Mindful Eating Meditation,"Involves eating slowly and mindfully, focusing on the taste, texture, and sensations of the food.",10-30 minutes,"Choose a food to eat, sit in a quiet place, and focus on the taste, texture, and sensations of each bite.",,,,,,,,,Lack of Connection with Nature
Mindful Breathing Meditation,Involves focusing on the breath to promote relaxation and develop awareness.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on your breath, observing each inhale and exhale.",,,,,,,,,Difficulty Letting Go
Compassionate Mind Meditation,Involves cultivating feelings of compassion and empathy towards oneself and others.,10-30 minutes,Sit in a comfortable position with your eyes closed and visualize yourself and others experiencing happiness and freedom from suffering.,,,,,,,,,Lack of Gratitude
Spiritual Meditation,Involves connecting with a higher power or spiritual practice to promote relaxation and inner peace.,10-30 minutes,Sit in a comfortable position with your eyes closed and connect with your higher power or spiritual practice through prayer or visualization.,,,,,,,,,Difficulty Sleeping
Chanting Meditation,Involves repeating a sound or phrase to promote relaxation and focus.,10-30 minutes,"Sit in a comfortable position with your eyes closed and repeat a sound or phrase, such as 'Om' or 'peace'.",,,,,,,,,Lack of Self-Compassion
Third Eye Meditation,Involves focusing on the area between the eyebrows to promote relaxation and develop intuition.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on the area between your eyebrows, imagining a light or energy there.",,,,,,,,,Difficulty Managing Emotions
Mudra Meditation,Involves using hand gestures to promote relaxation and focus.,10-30 minutes,"Sit in a comfortable position with your eyes closed and use a specific hand gesture, or mudra, to promote relaxation and focus.",,,,,,,,,Lack of Balance in Life
Self-Inquiry Meditation,Involves asking oneself open-ended questions to promote self-awareness and understanding.,10-30 minutes,"Sit in a comfortable position with your eyes closed and ask yourself open-ended questions, such as 'Who am I?' or 'What do I really want?'.",,,,,,,,,Difficulty with Decision-Making
Inner Light Meditation,Involves focusing on a bright light within oneself to promote relaxation and inner peace.,10-30 minutes,"Sit in a comfortable position with your eyes closed and imagine a bright light within yourself, focusing on its warmth and energy.",,,,,,,,,Lack of Inner Peace
Mindful Movement Meditation,Involves combining movement and mindfulness to promote relaxation and awareness.,10-30 minutes,"Engage in a gentle movement practice, such as yoga or tai chi, while maintaining awareness of your body and breath.",,,,,,,,,Difficulty with Forgiveness
Gratitude Meditation,Involves focusing on feelings of gratitude and appreciation to promote positivity and well-being.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on things you are grateful for, allowing yourself to feel the emotions associated with gratitude.",,,,,,,,,Lack of Positivity
Affirmation Meditation,Involves repeating positive affirmations to promote self-confidence and positivity.,10-30 minutes,"Sit in a comfortable position with your eyes closed and repeat positive affirmations to yourself, such as 'I am worthy' or 'I am capable'.",,,,,,,,,Difficulty with Self-Acceptance
Compassionate Body Scan Meditation,Involves combining body scan and compassionate meditation techniques to promote relaxation and self-compassion.,10-30 minutes,"Lie down or sit in a comfortable position with your eyes closed and focus on each part of your body, sending feelings of love and compassion towards yourself.",,,,,,,,,Lack of Connection with Others
Breath and Sound Meditation,Involves combining breath and sound awareness to promote relaxation and focus.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on your breath and a specific sound, such as white noise or a mantra.",,,,,,,,,Difficulty with Relaxation
Morning Meditation,Involves starting the day with a meditation practice to promote focus and positivity.,10-30 minutes,Sit in a comfortable position with your eyes closed and start the day with a meditation practice of your choice.,,,,,,,,,Lack of Clarity
Evening Meditation,Involves ending the day with a meditation practice to promote relaxation and restful sleep.,10-30 minutes,Sit in a comfortable position with your eyes closed and end the day with a meditation practice of your choice.,,,,,,,,,Difficulty with Self-Reflection
Breath and Body Awareness Meditation,Involves focusing on the breath and sensations in the body to promote relaxation and awareness.,10-30 minutes,Sit in a comfortable position with your eyes closed and focus on your breath and the sensations in your body.,,,,,,,,,Lack of Energy Flow
Mindful Communication Meditation,Involves practicing mindful communication with oneself and others to promote understanding and connection.,10-30 minutes,Sit in a comfortable position with your eyes closed and visualize communicating mindfully with yourself and others.,,,,,,,,,Difficulty with Mindful Eating
Labyrinth Meditation,Involves walking a labyrinth to promote relaxation and focus.,10-30 minutes,"Find a labyrinth and walk it slowly and mindfully, focusing on each step and the path ahead.",,,,,,,,,Lack of Emotional Balance
Color Visualization Meditation,Involves visualizing different colors and their associated emotions to promote relaxation and positivity.,10-30 minutes,"Sit in a comfortable position with your eyes closed and visualize different colors, focusing on the emotions associated with each color.",,,,,,,,,Difficulty with Self-Worth
Breath and Loving-Kindness Meditation,Involves combining breath awareness and loving-kindness meditation to promote relaxation and compassion.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on your breath, while also sending feelings of love and compassion towards yourself and others.",,,,,,,,,Lack of Connection with Higher Self
Gratitude Journaling Meditation,Involves journaling about things you are grateful for to promote positivity and well-being.,10-30 minutes,"Write in a journal about things you are grateful for, focusing on the emotions associated with gratitude.",,,,,,,,,Difficulty with Letting Go of Control
Sitting with Difficult Emotions Meditation,Involves sitting with uncomfortable emotions to promote self-awareness and acceptance.,10-30 minutes,Sit in a comfortable position with your eyes closed and allow yourself to feel difficult emotions without judgement or resistance.,,,,,,,,,Lack of Joy
Mindful Walking Meditation,"Involves walking slowly and mindfully, focusing on each step and the environment around you.",10-30 minutes,"Find a quiet place to walk slowly, focusing on each step and the environment around you.",,,,,,,,,Difficulty with Self-Discipline
Gratitude Body Scan Meditation,Involves combining body scan and gratitude techniques to promote relaxation and positivity.,10-30 minutes,"Lie down or sit in a comfortable position with your eyes closed and focus on each part of your body, while also feeling gratitude for each part.",,,,,,,,,Lack of Inner Strength
Breath and Body Awareness in Nature Meditation,Involves combining breath and body awareness with being in nature to promote relaxation and connection.,10-30 minutes,"Find a quiet place in nature to sit or walk, focusing on your breath and the sensations in your body.",,,,,,,,,Difficulty with Acceptance
Breath and Loving-Kindness in Nature Meditation,Involves combining breath awareness and loving-kindness meditation with being in nature to promote relaxation and connection.,10-30 minutes,"Find a quiet place in nature to sit or walk, focusing on your breath and sending feelings of love and compassion towards yourself and others.",,,,,,,,,Lack of Connection with the Present Moment
Compassionate Forgiveness Meditation,Involves cultivating feelings of compassion and forgiveness towards oneself and others.,10-30 minutes,Sit in a comfortable position with your eyes closed and visualize yourself and others experiencing forgiveness and freedom from past hurt.,,,,,,,,,Difficulty with Emotional Release
Breath and Body Awareness with Affirmations Meditation,Involves combining breath and body awareness with positive affirmations to promoterelaxation and positivity.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on your breath and the sensations in your body, while also repeating positive affirmations to yourself.",,,,,,,,,Lack of Inner Calm
Body Awareness and Gratitude Meditation,Involves combining body awareness and gratitude techniques to promote relaxation and positivity.,10-30 minutes,"Lie down or sit in a comfortable position with your eyes closed and focus on each part of your body, while also feeling gratitude for each part.",,,,,,,,,Difficulty with Self-Expression
