Name of Medicine,Reference text,Dispensing Pack Size,Main Indications,Dose,Precaution/ Contraindication,Preferred use (OPD/ IPD),Class,English_Text
Abhayarishta,AFI,200 ml,"Arsha, Agnimandya,
Udararoga, Vibandha",12 - 24 ml,NS,Both,A,"piles, Fire, abdominal disease, Bibban"
Amritarishta,AFI,200 ml,"SarvaJvara, Jirna Jvara",12 - 24 ml,NS,Both,A,"Sarvajvaria, Chronic fever"
Aragvadharishta,AH,200ml,"Kandu, Tvak Vikara,
Vibandha",12 - 24 ml,NS,Both,A,"Kandu, Takwatra, Bibban"
Aravindasava,AFI,200 ml,"Balaroga, Balakshaya,
Agnimandya, Aruchi",12 - 24 ml,NS,Both,A,"pediatric diseases, Strength, Fire, anorexia"
Arjunarishta/ Parthadyarishta,AFI,200 ml,"Hridroga, Hriddrava, Hrid- daurbalya, Moha,
Murchha",12 - 24 ml,NS,Both,A,"heart disease, Cardiomas, Cardiopia, Moha, Fudge"
Ashokarishta,AFI,200 ml,"Asrigdara, Shveta
Pradara,  Yoniroga",12 - 24 ml,NS,Both,A,"Unprocessed, White
Leucorrhoea, Vaginal disease"
"Ashvagandharisht
a",AFI,200 ml,"Murchha, Apasmara,
Shosha, Unmada, Karshya",12 - 24 ml,NS,Both,A,"Fudge, epilepsy, emaciation, insanity, Karm"
Balarishta,AFI,200 ml,"Daurbalya, Vataroga,
Agnimandya, Karshya",12 - 24 ml,NS,Both,A,"Richness, Arthritis, Fire, Karm"
Chandanasava,AFI,200 ml,"Shukrameha,
Mutrakriccha, Hridroga",12 - 24 ml,NS,Both,A,"Shukramheh, Urinary, heart disease"
Dashamularishta,AFI,200 ml,"Vata Vyadhi, Daurbalya,
Prasavottara roga",12 - 24 ml,NS,Both,A,"Aero disease, Richness, Post -subsequent disease"
Drakshasava,AFI,200 ml,"Aruchi, Hridroga, Pandu
Duarbalya, Kshaya",12 - 24 ml,NS,Both,A,"anorexia, heart disease, Pandu
Diyabalaya, phthisis"
Draksharishta,AFI,200 ml,"Agnimandya, Kasa, Shvasa, Urahkshata, Kshaya, Malavarodha,
Daurbalya",12 - 24 ml,NS,Both,A,"Fire, cough, Breathing, Fertile, phthisis, Malaise, Richness"
Jirakadyarishta,AFI,200 ml,"Sutikaroga, Agnimandya,
Atisara,Grahaniroga",12 - 24 ml,NS,Both,A,"Sorialism, Fire, diarrhea, Reception"
Kanakasava,AFI,200 ml,"Kasa, Shvasa, Rajayakshma,
Kshatakshina",12 - 24 ml,NS,Both,A,"cough, Breathing, tuberculosis, Disgrace"
Kumaryasava,AFI,200 ml,"Rajodushti, Krichhrartav, Paktishula,
Parinamashula,",12 - 24 ml,NS,Both,A,"Razodity, Agrarian, Pantishula, Consequence, "
Kutajarishta,AFI,200 ml,"Grahaniroga¸ Pravahika,
Raktatisara, Agnimandya",12 - 24 ml,NS,Both,A,"Grahanirooga, Pravahika, Hemorrhagic, Fire"
